idCAT,layers,styler,bbox,anio,autor,urlgeoportal,urldescargazip
13337AVES,fme071dpgw,dp_01g,"-97.014892578125,7.21173048019409,-77.2048873901367,18.9117317199707",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=fme071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fme071dpgw.zip
13337AVES,flor_mellgw,poly_conabio_conabio_1p,"-97.223229,14.71136,-88.493229,19.48136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=flor_mellgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/flor_mellgw.zip
46139ANGIO,fla052dpgw,dp_01g,"-101.999999999705,19.2500000000468,-97.6249999996486,25.2083333334569",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fla052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fla052dpgw.zip
26929ANGIO,fvu_presentgw,invasoras,"-117.5,14.5340050259999,-86.708331727,32.7173393079177",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fvu_presentgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fvu_presentgw.zip
26929ANGIO,fvu_50r45mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fvu_50r45mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fvu_50r45mdgw.zip
26929ANGIO,fvu_50r85mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fvu_50r85mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fvu_50r85mdgw.zip
26929ANGIO,fvu_70r45mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fvu_70r45mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fvu_70r45mdgw.zip
26929ANGIO,fvu_70r85mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fvu_70r85mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fvu_70r85mdgw.zip
36032ANGIO,fpa002dpgw,dp_01g,"-105.692077636719,14.5661697387695,-90.3676834106445,20.8825855255127",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fpa002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fpa002dpgw.zip
36032ANGIO,dis_f_pallgw,arbol_trop,"-105.680488,15.680802,-94.200181,21.040543",2005,Pennington y Sarukhán,http://geoportal.conabio.gob.mx/#!l=dis_f_pallgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dis_f_pallgw.zip
27511ANGIO,fwa002dpgw,dp_01g,"-118.390380859375,20.6246280670166,-102.482681274414,33.4991149902344",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fwa002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fwa002dpgw.zip
32644HYMEN,fprr003dpgw,dptv_0_1,"-123.35,-3.29999999999999,-58.9,54.1",2022,Córdoba-Aguilar y Rocha-Ortega,http://geoportal.conabio.gob.mx/#!l=fprr003dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fprr003dpgw.zip
234083HYMEN,farr003dpgw,dptv_0_1,"-130.5,19.0499999999999,-64.6,56.5",2022,Córdoba-Aguilar y Rocha-Ortega,http://geoportal.conabio.gob.mx/#!l=farr003dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/farr003dpgw.zip
234088HYMEN,flar003dpgw,dptv_0_1,"-130.5,24,-64.6,56.5",2022,Córdoba-Aguilar y Rocha-Ortega,http://geoportal.conabio.gob.mx/#!l=flar003dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/flar003dpgw.zip
279961HYMEN,fneor003dpgw,dptv_0_1,"-130.5,24.2,-60.95,56.5",2022,Córdoba-Aguilar y Rocha-Ortega,http://geoportal.conabio.gob.mx/#!l=fneor003dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fneor003dpgw.zip
252724HYMEN,fpar003dpgw,dptv_0_1,"-114.2,18.3,-64.6,52.65",2022,Córdoba-Aguilar y Rocha-Ortega,http://geoportal.conabio.gob.mx/#!l=fpar003dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fpar003dpgw.zip
32712HYMEN,fper003dpgw,dptv_0_1,"-121.95,22.9,-98.25,52.05",2022,Córdoba-Aguilar y Rocha-Ortega,http://geoportal.conabio.gob.mx/#!l=fper003dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fper003dpgw.zip
234096HYMEN,fsur003dpgw,dptv_0_1,"-130.5,24,-97,56.5",2022,Córdoba-Aguilar y Rocha-Ortega,http://geoportal.conabio.gob.mx/#!l=fsur003dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fsur003dpgw.zip
13721AVES,form_analgw,poly_conabio_conabio_1p,"-97.273229,15.30136,-86.743229,21.59136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=form_analgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/form_analgw.zip
5561AVES,fmo071dpgw,dp_01g,"-97.1669464111328,14.397120475769,-86.1869354248047,21.4271221160889",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=fmo071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fmo071dpgw.zip
